,Date,Open,High,Low,Close,Adj Close,Volumn
753,2017-09-28,215.00,216.00,213.50,214.00,184.09,"31,616,062"
752,2017-09-29,216.00,217.50,215.50,216.50,186.25,"21,380,708"
879,2017-10-02,219.50,220.50,218.50,220.50,189.69,"27,983,551"
878,2017-10-03,219.00,223.00,219.00,222.50,191.41,"36,679,938"
877,2017-10-05,222.00,225.50,222.00,224.50,193.13,"23,349,939"
876,2017-10-06,225.00,225.50,223.50,224.50,193.13,"15,642,516"
875,2017-10-11,226.50,233.50,226.50,233.00,200.44,"63,667,562"
874,2017-10-12,235.00,237.50,234.50,237.50,204.31,"42,390,186"
873,2017-10-13,237.50,237.50,234.50,237.50,204.31,"23,145,071"
872,2017-10-16,237.50,238.00,236.00,238.00,204.74,"19,964,072"
871,2017-10-17,238.00,238.00,235.00,235.50,202.59,"17,652,304"
870,2017-10-18,239.50,239.50,237.00,237.50,204.31,"28,886,850"
869,2017-10-19,239.50,241.50,239.00,239.00,205.60,"23,481,776"
868,2017-10-20,238.00,239.50,237.50,237.50,204.31,"24,722,035"
867,2017-10-23,239.00,240.00,238.50,239.00,205.60,"15,772,559"
866,2017-10-24,240.00,240.00,238.00,238.00,204.74,"14,975,093"
865,2017-10-25,238.50,239.00,237.50,238.00,204.74,"16,880,187"
864,2017-10-26,237.00,238.00,236.00,236.00,203.02,"12,959,717"
863,2017-10-27,237.50,240.00,237.50,239.00,205.60,"17,773,541"
862,2017-10-30,242.00,245.00,241.50,243.00,209.04,"27,784,990"
861,2017-10-31,243.50,245.00,241.50,243.00,209.04,"22,582,013"
860,2017-11-01,243.50,245.00,241.50,242.50,208.61,"20,389,054"
859,2017-11-02,242.00,242.50,240.50,241.00,207.32,"15,810,342"
858,2017-11-03,240.50,241.00,238.50,239.00,205.60,"16,528,682"
857,2017-11-06,243.50,244.00,239.00,239.50,206.03,"21,029,415"
856,2017-11-07,242.00,244.00,241.50,244.00,209.90,"20,200,261"
855,2017-11-08,243.00,243.50,242.00,242.50,208.61,"14,129,103"
854,2017-11-09,240.50,243.00,240.00,241.00,207.32,"20,313,949"
853,2017-11-10,240.00,242.00,239.50,240.50,206.89,"14,121,296"
852,2017-11-13,240.00,241.50,239.50,239.50,206.03,"12,087,858"
851,2017-11-14,241.00,241.00,239.00,240.00,206.46,"16,880,176"
850,2017-11-15,239.00,239.50,236.00,237.50,204.31,"28,720,308"
849,2017-11-16,238.00,240.00,237.50,238.00,204.74,"16,487,172"
848,2017-11-17,240.50,242.50,240.50,241.50,207.75,"18,676,825"
847,2017-11-20,241.00,241.50,238.00,238.50,205.17,"16,265,271"
846,2017-11-21,240.00,243.00,239.50,243.00,209.04,"20,513,024"
845,2017-11-22,244.50,244.50,242.00,242.00,208.18,"26,626,431"
844,2017-11-23,242.00,243.50,241.50,242.50,208.61,"9,346,763"
843,2017-11-24,242.00,244.50,241.50,244.00,209.90,"11,154,453"
842,2017-11-27,240.00,240.00,237.00,237.00,203.88,"32,247,324"
841,2017-11-28,234.50,235.00,233.00,234.00,201.30,"44,803,178"
840,2017-11-29,235.00,236.00,234.50,234.50,201.73,"25,762,797"
839,2017-11-30,226.50,230.50,226.00,226.00,194.42,"109,231,770"
838,2017-12-01,228.50,233.50,227.50,231.00,198.72,"37,446,265"
837,2017-12-04,232.50,234.50,231.00,234.00,201.30,"21,635,032"
836,2017-12-05,231.00,231.00,228.50,229.50,197.43,"29,664,765"
835,2017-12-06,228.00,229.50,226.50,227.00,195.28,"32,371,690"
834,2017-12-07,226.50,226.50,222.50,226.50,194.85,"41,343,903"
833,2017-12-08,231.00,231.00,224.50,227.00,195.28,"37,959,260"
832,2017-12-11,228.50,229.00,227.00,227.50,195.71,"20,649,609"
831,2017-12-12,229.50,229.50,225.00,227.50,195.71,"21,796,584"
830,2017-12-13,227.50,228.00,226.50,227.00,195.28,"17,920,331"
829,2017-12-14,228.00,230.50,227.50,230.50,198.29,"17,193,313"
828,2017-12-15,228.50,230.00,226.50,230.00,197.86,"42,625,779"
827,2017-12-18,227.00,228.00,226.50,227.00,195.28,"14,564,664"
826,2017-12-19,226.50,228.50,224.00,225.00,193.56,"25,714,129"
825,2017-12-20,225.00,225.50,223.50,224.50,193.13,"26,289,333"
824,2017-12-21,226.50,227.00,224.50,225.00,193.56,"18,558,164"
823,2017-12-22,225.00,227.50,224.00,227.50,195.71,"19,036,483"
822,2017-12-25,228.00,229.50,226.50,228.50,196.57,"4,579,675"
821,2017-12-26,229.00,229.00,225.00,226.00,194.42,"13,755,843"
